"Тема","Дата начала","Время начала","Дата завершения","Время завершения","Целый день","Напоминание вкл / выкл","Дата напоминания","Время напоминания","Организатор собрания","Обязательные участники","Необязательные участники","Ресурсы собрания","В это время","Важность","Категории","Место","Описание","Пометка","Расстояние","Способ оплаты","Частное"
"История: история России. 505","2019.10.21","10:20:00","2019.10.21","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Павельева Т.Ю","Обычный",,,"Ложь"
"Русский язык и культура речи. 311","2019.09.09","12:20:00","2019.09.09","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","","Обычный",,,"Ложь"
"Русский язык и культура речи. 311","2019.09.16","12:20:00","2019.09.16","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","","Обычный",,,"Ложь"
"Русский язык и культура речи. 311","2019.09.23","12:20:00","2019.09.23","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","","Обычный",,,"Ложь"
"Русский язык и культура речи. 311","2019.09.30","12:20:00","2019.09.30","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","","Обычный",,,"Ложь"
"Русский язык и культура речи. 311","2019.10.07","12:20:00","2019.10.07","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","","Обычный",,,"Ложь"
"Русский язык и культура речи. 311","2019.10.14","12:20:00","2019.10.14","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","","Обычный",,,"Ложь"
"Русский язык и культура речи. 311","2019.10.21","12:20:00","2019.10.21","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","","Обычный",,,"Ложь"
"Русский язык и культура речи. 311","2019.10.28","12:20:00","2019.10.28","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","","Обычный",,,"Ложь"
"Русский язык и культура речи. 311","2019.11.11","12:20:00","2019.11.11","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","","Обычный",,,"Ложь"
"Русский язык и культура речи. 311","2019.11.18","12:20:00","2019.11.18","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","","Обычный",,,"Ложь"
"Русский язык и культура речи. 311","2019.11.25","12:20:00","2019.11.25","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","","Обычный",,,"Ложь"
"Русский язык и культура речи. 311","2019.12.02","12:20:00","2019.12.02","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","","Обычный",,,"Ложь"
"История: история России. 505","2019.12.09","12:20:00","2019.12.09","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Павельева Т.Ю","Обычный",,,"Ложь"
"История: история России. 505","2019.12.16","12:20:00","2019.12.16","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Павельева Т.Ю","Обычный",,,"Ложь"
"Информатика. 0206","2019.09.09","14:10:00","2019.09.09","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Носовицкий В.Б","Обычный",,,"Ложь"
"Информатика. 0206","2019.09.16","14:10:00","2019.09.16","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Носовицкий В.Б","Обычный",,,"Ложь"
"Информатика. 0206","2019.09.23","14:10:00","2019.09.23","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Носовицкий В.Б","Обычный",,,"Ложь"
"Информатика. 0206","2019.09.30","14:10:00","2019.09.30","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Носовицкий В.Б","Обычный",,,"Ложь"
"Информатика. 0206","2019.10.07","14:10:00","2019.10.07","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Носовицкий В.Б","Обычный",,,"Ложь"
"Информатика. 0206","2019.10.14","14:10:00","2019.10.14","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Носовицкий В.Б","Обычный",,,"Ложь"
"Информатика. 0206","2019.10.21","14:10:00","2019.10.21","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Носовицкий В.Б","Обычный",,,"Ложь"
"Информатика. 0206","2019.10.28","14:10:00","2019.10.28","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Носовицкий В.Б","Обычный",,,"Ложь"
"Информатика. 0206","2019.11.11","14:10:00","2019.11.11","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Носовицкий В.Б","Обычный",,,"Ложь"
"Информатика. 0206","2019.11.18","14:10:00","2019.11.18","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Носовицкий В.Б","Обычный",,,"Ложь"
"Информатика. 0206","2019.11.25","14:10:00","2019.11.25","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Носовицкий В.Б","Обычный",,,"Ложь"
"Информатика. 0206","2019.12.02","14:10:00","2019.12.02","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Носовицкий В.Б","Обычный",,,"Ложь"
"Информатика. 0206","2019.12.09","14:10:00","2019.12.09","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Носовицкий В.Б","Обычный",,,"Ложь"
"Информатика. 0206","2019.12.09","16:00:00","2019.12.09","17:40:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Носовицкий В.Б","Обычный",,,"Ложь"
"История: история России. 505","2019.12.16","14:10:00","2019.12.16","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Павельева Т.Ю","Обычный",,,"Ложь"
"Информатика. 214(А)","2019.10.07","16:00:00","2019.10.07","19:30:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лаба","Сидоров А.С","Обычный",,,"Ложь"
"Информатика. 214(А)","2019.10.21","16:00:00","2019.10.21","19:30:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лаба","Сидоров А.С","Обычный",,,"Ложь"
"Информатика. 214(А)","2019.11.18","16:00:00","2019.11.18","19:30:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лаба","Сидоров А.С","Обычный",,,"Ложь"
"Информатика. 214(А)","2019.12.02","16:00:00","2019.12.02","19:30:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лаба","Сидоров А.С","Обычный",,,"Ложь"
"Информатика. 214(А)","2019.12.16","16:00:00","2019.12.16","19:30:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лаба","Сидоров А.С","Обычный",,,"Ложь"
